# RMS IED industry-TIV fixture. Mock data only. Currency = USD. SourceYear = 2024.
# Segment convention: RESIDENTIAL + COMMERCIAL state rows + COUNTRY-level UNKNOWN row.
# Intentional gap: US-FL-12086 (Miami-Dade) is OMITTED at COUNTY level to exercise
# WARN_IED_DENOMINATOR_MISSING. US-FL-12011 (Broward) is present so the contrast is clear.
geographyLevel,geographyId,occupancySegment,industryTIV,currency,sourceYear
COUNTRY,US,UNKNOWN,55000000000000,USD,2024
STATE,US-FL,RESIDENTIAL,3100000000000,USD,2024
STATE,US-FL,COMMERCIAL,1900000000000,USD,2024
STATE,US-TX,RESIDENTIAL,2900000000000,USD,2024
STATE,US-TX,COMMERCIAL,2100000000000,USD,2024
STATE,US-CA,RESIDENTIAL,4200000000000,USD,2024
STATE,US-CA,COMMERCIAL,2800000000000,USD,2024
STATE,US-NY,RESIDENTIAL,2600000000000,USD,2024
STATE,US-NY,COMMERCIAL,2400000000000,USD,2024
STATE,US-LA,RESIDENTIAL,520000000000,USD,2024
STATE,US-LA,COMMERCIAL,340000000000,USD,2024
STATE,US-NC,RESIDENTIAL,910000000000,USD,2024
STATE,US-NC,COMMERCIAL,560000000000,USD,2024
STATE,US-SC,RESIDENTIAL,470000000000,USD,2024
STATE,US-SC,COMMERCIAL,290000000000,USD,2024
COUNTY,US-FL-12011,RESIDENTIAL,210000000000,USD,2024
COUNTY,US-FL-12011,COMMERCIAL,130000000000,USD,2024
COUNTY,US-TX-48201,RESIDENTIAL,380000000000,USD,2024
COUNTY,US-TX-48201,COMMERCIAL,260000000000,USD,2024
COUNTY,US-CA-06037,RESIDENTIAL,720000000000,USD,2024
COUNTY,US-CA-06037,COMMERCIAL,490000000000,USD,2024
COUNTY,US-NY-36047,RESIDENTIAL,310000000000,USD,2024
COUNTY,US-NY-36047,COMMERCIAL,180000000000,USD,2024
